profile_case,kernel_name_raw,kernel_family,invocations,avg_duration_ms,avg_compute_pct,avg_memory_pct,avg_l1tex_hit_pct,avg_l2_hit_pct,avg_achieved_occupancy_pct,avg_eligible_warps_per_scheduler,avg_no_eligible_pct,avg_warp_cycles_per_issued_inst,source_group,category,paper_keep_flag
darcy_large_on421_ts_fp32_ncu,"void at::elementwise_kernel<128, 2, void at::gpu_kernel_impl_nocast<at::CUDAFunctor_add<float>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3) (46873, 1, 1)x(128, 1, 1)",elementwise_kernel,13,1.69,40.78,66.47,52.99,46.92,91.64,,,,jetson_fno_profile_ncu_frontier,elementwise_fused,True
darcy_large_on421_ts_fp32_ncu,"void at::elementwise_kernel<128, 2, void at::gpu_kernel_impl_nocast<at::CUDAFunctor_add<float>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3) (693, 1, 1)x(128, 1, 1)",elementwise_kernel,4,25.27,29.76,49.29,33.32,49.8,85.77,,,,jetson_fno_profile_ncu_frontier,elementwise_fused,True
darcy_large_on421_ts_fp32_ncu,"void at::elementwise_kernel<128, 2, void at::gpu_kernel_impl_nocast<at::CUDAFunctor_add<float>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3) (88621, 1, 1)x(128, 1, 1)",elementwise_kernel,2,2.44,43.39,64.26,55.55,50.0,91.53,,,,jetson_fno_profile_ncu_frontier,elementwise_fused,True
darcy_large_on421_ts_fp32_ncu,"void at::elementwise_kernel<128, 2, void at::gpu_kernel_impl_nocast<at::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3) (44311, 1, 1)x(128, 1, 1)",direct_copy_kernel_cuda,4,1.29,40.11,62.15,2.58,49.97,91.06,,,,jetson_fno_profile_ncu_frontier,movement_copy,True
darcy_large_on421_ts_fp32_ncu,"void at::elementwise_kernel<128, 2, void at::gpu_kernel_impl_nocast<at::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 9)]::operator ()() const::[lambda(c10::complex<float>) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3) (144, 1, 1)x(128, 1, 1)",direct_copy_kernel_cuda,48,22.41,10.74,42.42,28.05,67.19,83.06,,,,jetson_fno_profile_ncu_frontier,movement_copy,True
darcy_large_on421_ts_fp32_ncu,"void at::elementwise_kernel<128, 2, void at::gpu_kernel_impl_nocast<at::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 9)]::operator ()() const::[lambda(c10::complex<float>) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3) (9216, 1, 1)x(128, 1, 1)",direct_copy_kernel_cuda,24,700.61,12.47,90.13,8.54,78.06,91.65,,,,jetson_fno_profile_ncu_frontier,movement_copy,True
darcy_large_on421_ts_fp32_ncu,"void at::vectorized_elementwise_kernel<4, at::AUnaryFunctor<float, float, float, binary_internal::MulFunctor<float>>, detail::Array<char *, 2>>(int, T2, T3) (23437, 1, 1)x(128, 1, 1)",vectorized_elementwise_kernel,12,992.32,7.09,79.7,49.3,50.0,86.98,,,,jetson_fno_profile_ncu_frontier,elementwise_fused,True
darcy_large_on421_ts_fp32_ncu,"void at::vectorized_elementwise_kernel<4, at::CUDAFunctorOnSelf_add<float>, detail::Array<char *, 2>>(int, T2, T3) (1, 1, 1)x(128, 1, 1)",vectorized_elementwise_kernel,2,6.48,0.27,0.77,0.0,32.74,6.44,,,,jetson_fno_profile_ncu_frontier,elementwise_fused,True
darcy_large_on421_ts_fp32_ncu,"void at::vectorized_elementwise_kernel<4, at::CUDAFunctor_add<float>, detail::Array<char *, 3>>(int, T2, T3) (23437, 1, 1)x(128, 1, 1)",vectorized_elementwise_kernel,5,1.49,5.51,81.6,0.0,33.33,90.87,,,,jetson_fno_profile_ncu_frontier,elementwise_fused,True
darcy_large_on421_ts_fp32_ncu,"void at::vectorized_elementwise_kernel<4, at::FillFunctor<c10::complex<float>>, detail::Array<char *, 1>>(int, T2, T3) (11746, 1, 1)x(128, 1, 1)",vectorized_elementwise_kernel,12,997.8,4.99,93.3,23.31,100.0,94.97,,,,jetson_fno_profile_ncu_frontier,elementwise_fused,True
