"Process ID","Process Name","Host Name","Kernel Name","Block Size","Grid Size","Device","CC","Invocations","Section Name","Metric Name","Metric Unit","Minimum","Maximum","Average"
"2485885","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)","(2, 1, 2)","0","8.7","2","GPU Speed Of Light Throughput","lts__d_atomic_input_cycles_active.avg.pct_of_peak_sustained_elapsed","%","0.00","0.00","0.00"
"2485885","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)","(2, 1, 2)","0","8.7","2","GPU Speed Of Light Throughput","lts__d_sectors.avg.pct_of_peak_sustained_elapsed","%","2.65","2.66","2.66"
"2485885","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)","(2, 1, 2)","0","8.7","2","GPU Speed Of Light Throughput","lts__d_sectors_fill_device.avg.pct_of_peak_sustained_elapsed","%","0.00","0.00","0.00"
"2485885","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)","(2, 1, 2)","0","8.7","2","GPU Speed Of Light Throughput","lts__d_sectors_fill_sysmem.avg.pct_of_peak_sustained_elapsed","%","5.24","5.24","5.24"
"2485885","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)","(2, 1, 2)","0","8.7","2","GPU Speed Of Light Throughput","lts__lts2xbar_cycles_active.avg.pct_of_peak_sustained_elapsed","%","3.38","3.39","3.38"
"2485885","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)","(2, 1, 2)","0","8.7","2","GPU Speed Of Light Throughput","lts__t_sectors.avg.pct_of_peak_sustained_elapsed","%","2.78","2.78","2.78"
"2485885","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)","(2, 1, 2)","0","8.7","2","GPU Speed Of Light Throughput","lts__t_tag_requests.avg.pct_of_peak_sustained_elapsed","%","5.22","5.23","5.22"
"2485885","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)","(2, 1, 2)","0","8.7","2","GPU Speed Of Light Throughput","lts__xbar2lts_cycles_active.avg.pct_of_peak_sustained_elapsed","%","10.33","10.34","10.33"
"2485885","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)","(2, 1, 2)","0","8.7","2","GPU and Memory Workload Distribution","l1tex__cycles_active.avg","cycle","8,186.50","8,226.12","8,206.31"
"2485885","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)","(2, 1, 2)","0","8.7","2","GPU and Memory Workload Distribution","l1tex__cycles_elapsed.sum","cycle","157,808.00","158,224.00","158,016.00"
"2485885","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)","(2, 1, 2)","0","8.7","2","GPU and Memory Workload Distribution","lts__cycles_active.avg","cycle","5,868.50","6,108.62","5,988.56"
"2485885","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)","(2, 1, 2)","0","8.7","2","GPU and Memory Workload Distribution","lts__cycles_elapsed.sum","cycle","165,376.00","165,520.00","165,448.00"
"2485885","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)","(2, 1, 2)","0","8.7","2","GPU and Memory Workload Distribution","sm__cycles_active.avg","cycle","8,186.50","8,226.12","8,206.31"
"2485885","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)","(2, 1, 2)","0","8.7","2","GPU and Memory Workload Distribution","sm__cycles_elapsed.sum","cycle","157,808.00","158,224.00","158,016.00"
"2485885","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)","(2, 1, 2)","0","8.7","2","GPU and Memory Workload Distribution","smsp__cycles_active.avg","cycle","8,072.91","8,108.50","8,090.70"
"2485885","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)","(2, 1, 2)","0","8.7","2","GPU and Memory Workload Distribution","smsp__cycles_elapsed.sum","cycle","631,232.00","632,896.00","632,064.00"
"2485885","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)","(2, 1, 2)","0","8.7","2","GPU and Memory Workload Distribution","2485885","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)"
"(2, 1, 2)","0","8.7","2","GPU and Memory Workload Distribution","2485885","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)","(2, 1, 2)","0","8.7","2","GPU and Memory Workload Distribution"
"2485885","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)","(2, 1, 2)","0","8.7","2","GPU and Memory Workload Distribution","2485885","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)"
"(2, 1, 2)","0","8.7","2","GPU and Memory Workload Distribution","l1tex__cycles_active.avg","cycle","8,186.50","8,226.12","8,206.31","2485885","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)"
"(2, 1, 2)","0","8.7","2","GPU and Memory Workload Distribution","l1tex__cycles_active.max","cycle","17,581.00","17,683.00","17,632.00","2485885","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)"
"(2, 1, 2)","0","8.7","2","GPU and Memory Workload Distribution","l1tex__cycles_active.min","cycle","0.00","0.00","0.00","2485885","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)"
"(2, 1, 2)","0","8.7","2","GPU and Memory Workload Distribution","l1tex__cycles_active.sum","cycle","65,492.00","65,809.00","65,650.50","2485885","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)"
"(2, 1, 2)","0","8.7","2","GPU and Memory Workload Distribution","lts__cycles_active.avg","cycle","5,868.50","6,108.62","5,988.56","2485885","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)"
"(2, 1, 2)","0","8.7","2","GPU and Memory Workload Distribution","lts__cycles_active.max","cycle","6,555.00","6,790.00","6,672.50","2485885","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)"
"(2, 1, 2)","0","8.7","2","GPU and Memory Workload Distribution","lts__cycles_active.min","cycle","5,541.00","5,721.00","5,631.00","2485885","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)"
"(2, 1, 2)","0","8.7","2","GPU and Memory Workload Distribution","lts__cycles_active.sum","cycle","46,948.00","48,869.00","47,908.50","2485885","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)"
"(2, 1, 2)","0","8.7","2","GPU and Memory Workload Distribution","sm__cycles_active.avg","cycle","8,186.50","8,226.12","8,206.31","2485885","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)"
