result_tag,status,failure_class,mode,precision,checkpoint,torchscript,input_bank,batch_size,num_warmup,num_iters,mean_ms,median_ms,p95_ms,p99_ms,peak_cuda_allocated_mb,json
burgers_deeponet_base_r512_eager_bf16_autocast,success,,eager,bf16_autocast,artifacts/checkpoints/burgers_deeponet_base_r512_seed0_best.pt,,artifacts/benchmark_inputs/burgers_r512_bank.pt,1,20,50,3.2284728437662125,3.2088644802570343,3.3705183304846287,3.7311390042304993,11.84375,results/jetson_deeponet_precision/burgers_deeponet_base_r512_eager_bf16_autocast.json
burgers_deeponet_base_r512_eager_fp16_autocast,success,,eager,fp16_autocast,artifacts/checkpoints/burgers_deeponet_base_r512_seed0_best.pt,,artifacts/benchmark_inputs/burgers_r512_bank.pt,1,20,50,2.943344060331583,2.924502594396472,3.1129089184105396,3.4920256584882736,11.84375,results/jetson_deeponet_precision/burgers_deeponet_base_r512_eager_fp16_autocast.json
burgers_deeponet_base_r512_eager_fp16_native,success,,eager,fp16_native,artifacts/checkpoints/burgers_deeponet_base_r512_seed0_best.pt,,artifacts/benchmark_inputs/burgers_r512_bank.pt,1,20,50,2.5339926313608885,2.5291123893111944,2.562361303716898,3.0294181779026985,10.39208984375,results/jetson_deeponet_precision/burgers_deeponet_base_r512_eager_fp16_native.json
burgers_deeponet_base_r512_eager_fp32_strict,success,,eager,fp32_strict,artifacts/checkpoints/burgers_deeponet_base_r512_seed0_best.pt,,artifacts/benchmark_inputs/burgers_r512_bank.pt,1,20,50,2.563044773414731,2.5208238512277603,2.762177027761936,3.100621048361063,11.6513671875,results/jetson_deeponet_precision/burgers_deeponet_base_r512_eager_fp32_strict.json
burgers_deeponet_base_r512_eager_tf32,success,,eager,tf32,artifacts/checkpoints/burgers_deeponet_base_r512_seed0_best.pt,,artifacts/benchmark_inputs/burgers_r512_bank.pt,1,20,50,2.5226292200386524,2.4757985956966877,2.7548479847609997,2.9859598726034164,11.6513671875,results/jetson_deeponet_precision/burgers_deeponet_base_r512_eager_tf32.json
burgers_deeponet_base_r512_torchscript_bf16_autocast,success,,torchscript,bf16_autocast,artifacts/checkpoints/burgers_deeponet_base_r512_seed0_best.pt,artifacts/torchscript/burgers_deeponet_base_r512_seed0.ts,artifacts/benchmark_inputs/burgers_r512_bank.pt,1,20,50,1.8400573451071978,1.8264958634972572,2.0187897607684135,2.4052043445408344,11.27294921875,results/jetson_deeponet_precision/burgers_deeponet_base_r512_torchscript_bf16_autocast.json
burgers_deeponet_base_r512_torchscript_fp16_autocast,success,,torchscript,fp16_autocast,artifacts/checkpoints/burgers_deeponet_base_r512_seed0_best.pt,artifacts/torchscript/burgers_deeponet_base_r512_seed0.ts,artifacts/benchmark_inputs/burgers_r512_bank.pt,1,20,50,2.065908471122384,1.9284994341433048,2.646844834089279,4.218356218189001,11.27294921875,results/jetson_deeponet_precision/burgers_deeponet_base_r512_torchscript_fp16_autocast.json
burgers_deeponet_base_r512_torchscript_fp16_native,success,,torchscript,fp16_native,artifacts/checkpoints/burgers_deeponet_base_r512_seed0_best.pt,artifacts/torchscript/burgers_deeponet_base_r512_seed0.ts,artifacts/benchmark_inputs/burgers_r512_bank.pt,1,20,50,1.343129938468337,1.3236617669463158,1.423889771103859,1.853311900049448,10.39013671875,results/jetson_deeponet_precision/burgers_deeponet_base_r512_torchscript_fp16_native.json
burgers_deeponet_base_r512_torchscript_fp32_strict,success,,torchscript,fp32_strict,artifacts/checkpoints/burgers_deeponet_base_r512_seed0_best.pt,artifacts/torchscript/burgers_deeponet_base_r512_seed0.ts,artifacts/benchmark_inputs/burgers_r512_bank.pt,1,20,50,1.3653284776955843,1.348382793366909,1.4301622286438942,1.757150050252676,11.6474609375,results/jetson_deeponet_precision/burgers_deeponet_base_r512_torchscript_fp32_strict.json
burgers_deeponet_base_r512_torchscript_tf32,success,,torchscript,tf32,artifacts/checkpoints/burgers_deeponet_base_r512_seed0_best.pt,artifacts/torchscript/burgers_deeponet_base_r512_seed0.ts,artifacts/benchmark_inputs/burgers_r512_bank.pt,1,20,50,1.3816208951175213,1.2456919066607952,2.295216079801321,3.424182999879122,11.6474609375,results/jetson_deeponet_precision/burgers_deeponet_base_r512_torchscript_tf32.json
