08-04-2026 19:11:07 RAM 3777/7620MB (lfb 32x1MB) SWAP 2162/12002MB (cached 112MB) CPU [16%@1728,18%@1728,0%@1728,100%@1728,0%@1728,11%@1728] GR3D_FREQ 47% cpu@63.25C soc2@61.843C soc0@62.281C gpu@63.437C tj@63.562C soc1@63.562C VDD_IN 12004mW/11792mW VDD_CPU_GPU_CV 4884mW/4741mW VDD_SOC 3103mW/3086mW
08-04-2026 19:11:07 RAM 3778/7620MB (lfb 32x1MB) SWAP 2162/12002MB (cached 112MB) CPU [0%@1728,0%@1728,9%@1728,100%@1728,9%@1728,8%@1728] GR3D_FREQ 44% cpu@63.093C soc2@61.875C soc0@62.406C gpu@63.781C tj@63.781C soc1@63.656C VDD_IN 12004mW/11799mW VDD_CPU_GPU_CV 4925mW/4746mW VDD_SOC 3098mW/3087mW
08-04-2026 19:11:07 RAM 3778/7620MB (lfb 32x1MB) SWAP 2162/12002MB (cached 112MB) CPU [10%@1728,0%@1728,10%@1728,100%@1728,0%@1728,0%@1728] GR3D_FREQ 48% cpu@63.187C soc2@61.843C soc0@62.312C gpu@63.656C tj@63.656C soc1@63.406C VDD_IN 12004mW/11805mW VDD_CPU_GPU_CV 4884mW/4750mW VDD_SOC 3098mW/3087mW
08-04-2026 19:11:07 RAM 3778/7620MB (lfb 32x1MB) SWAP 2162/12002MB (cached 112MB) CPU [15%@1728,0%@1728,0%@1728,100%@1728,0%@1728,0%@1728] GR3D_FREQ 47% cpu@63.031C soc2@61.687C soc0@62.406C gpu@63.468C tj@63.468C soc1@63.406C VDD_IN 12004mW/11810mW VDD_CPU_GPU_CV 4884mW/4754mW VDD_SOC 3098mW/3087mW
08-04-2026 19:11:07 RAM 3778/7620MB (lfb 32x1MB) SWAP 2162/12002MB (cached 112MB) CPU [0%@1728,0%@1728,0%@1728,100%@1728,0%@1728,0%@1728] GR3D_FREQ 44% cpu@63.062C soc2@61.812C soc0@62.312C gpu@63.781C tj@63.468C soc1@63.468C VDD_IN 12004mW/11816mW VDD_CPU_GPU_CV 4884mW/4758mW VDD_SOC 3103mW/3088mW
08-04-2026 19:11:07 RAM 3778/7620MB (lfb 32x1MB) SWAP 2162/12002MB (cached 112MB) CPU [0%@1728,0%@1728,0%@1728,100%@1728,0%@1728,0%@1728] GR3D_FREQ 48% cpu@63.125C soc2@61.781C soc0@62.468C gpu@63.593C tj@63.593C soc1@63.593C VDD_IN 12004mW/11821mW VDD_CPU_GPU_CV 4884mW/4761mW VDD_SOC 3098mW/3088mW
08-04-2026 19:11:07 RAM 3778/7620MB (lfb 32x1MB) SWAP 2162/12002MB (cached 112MB) CPU [10%@1728,0%@1728,0%@1728,100%@1728,0%@1728,0%@1728] GR3D_FREQ 45% cpu@63.218C soc2@61.843C soc0@62.343C gpu@63.437C tj@63.437C soc1@63.375C VDD_IN 12004mW/11826mW VDD_CPU_GPU_CV 4884mW/4765mW VDD_SOC 3098mW/3088mW
08-04-2026 19:11:07 RAM 3778/7620MB (lfb 32x1MB) SWAP 2162/12002MB (cached 112MB) CPU [0%@1728,0%@1728,0%@1728,100%@1728,0%@1728,0%@1728] GR3D_FREQ 46% cpu@63.062C soc2@61.812C soc0@62.375C gpu@63.343C tj@63.5C soc1@63.5C VDD_IN 11963mW/11829mW VDD_CPU_GPU_CV 4884mW/4768mW VDD_SOC 3098mW/3088mW
08-04-2026 19:11:08 RAM 3778/7620MB (lfb 32x1MB) SWAP 2162/12002MB (cached 112MB) CPU [0%@1728,0%@1728,0%@1728,100%@1728,0%@1728,0%@1728] GR3D_FREQ 48% cpu@63.093C soc2@61.812C soc0@62.437C gpu@63.593C tj@63.593C soc1@63.5C VDD_IN 11963mW/11832mW VDD_CPU_GPU_CV 4884mW/4770mW VDD_SOC 3103mW/3089mW
08-04-2026 19:11:08 RAM 3778/7620MB (lfb 32x1MB) SWAP 2162/12002MB (cached 112MB) CPU [9%@1728,0%@1728,0%@1728,100%@1728,0%@1728,0%@1728] GR3D_FREQ 47% cpu@63.093C soc2@61.687C soc0@62.437C gpu@63.406C tj@63.593C soc1@63.593C VDD_IN 11963mW/11836mW VDD_CPU_GPU_CV 4843mW/4772mW VDD_SOC 3103mW/3089mW
